;Name;Description;Followers
315;Apple Talk;In-depth industry analysis and cutting-edge commentarty on Apple and related technologies from the team at iMore.com.;12,572
316;FAUN;The Must-Read Publication for Aspiring Developers & DevOps Enthusiasts. Medium’s largest DevOps publication.;12,291
317;The Weekly Knob;A weekly publication dedicated to 'prompting writers to write'. A new writing prompt weekly. Submission deadline: Thursdays at midnight CST. New edition published on Saturday. Supporting creative writing and writers at every level of development.;12,269
318;Go Remote;Musings from the the global Remote Year community and beyond. Inspiration and resources for location-independent professionals.;12,222
319;Netanel Basal;Articles for badass Angular Developers;12,221
320;Predict;where the future is written;12,087
321;HeartSupport;Created by Grammy-Nominated musician, Jake Luhrs, we help people brave their wounds, find purpose, and discover healing in the fight for mental health—https://heartsupport.com;12,004
322;Data & Society: Points;Points is the blog of Data & Society Research Institute;11,983
323;LEVEL;Higher Learning. A new Medium publication.;11,846
324;Fearless She Wrote;This is a space to empower differences, tell our stories, and share our lives together. We will not be silenced. We will be fearless. And we will write.;11,844
325;Lightspeed Venture Partners;Lightspeed is a VC firm focused on accelerating disruptive innovations and trends in the enterprise and consumer sectors. Lightspeed has backed 350+ companies globally in the past two decades including Snap, Honest Co., GIPHY, Nest, Nutanix, AppDynamics and MuleSoft.;11,777
326;The Texas Tribune;A nonprofit, nonpartisan public media organization covering Texas politics and policy with moxie.;11,754
327;Flawless iOS;🍏 Community around iOS development, mobile design, and marketing;11,728
328;Live Your Life On Purpose;Get Purpose. Get Perspective. Get Passion.;11,684
329;Movie Time Guru;i enjoy going to the theater by myself or with a large group of friends or with you, baby.;11,624
330;Bloomberg;The first word in business news.;11,578
331;FlutterPub;The Pub(lication) for all about the Flutter and its magic;11,577
332;Gay Mag;A new magazine from Roxane Gay offering some of the most interesting and thoughtful cultural criticism to be found on the Web. Our first quarterly is coming in June 2019. We value deep explorations, timelessness, and challenging conventional thinking without being cheap and lazy.;11,477
333;ART & SCIENCE;A conversation about the power of movies;11,387
334;Cube Dev;Data stories on machine learning and analytics. From Statsbot’s makers.;11,328
335;EIDOLON;Classics without fragility.;11,163
336;Nightingale;The Journal of the Data Visualization Society;11,148
337;Planet Stories;Using space imagery to tell stories about our changing planet.;11,125
338;Re / verb;Words about music;11,040
339;Quick Code;Find the best tutorials and courses for the web, mobile, chatbot, AR/VR development, database management, data science, web design and cryptocurrency. Practice in JavaScript, Java, Python, R, Android, Swift, Objective-C, React, Node Js, Ember, C++, SQL & more.;10,963
340;Bolt Blog;Investing at the intersection of Software and Physical Products;10,873
341;Positive Returns;Working to create a world of positive returns;10,829
342;Taking Note;"""Taking Note"" features insights and encouragement to help you regain control of your days, lead a more satisfying life, and focus on what matters most.";10,819
343;The Banana Boat;Food is for foodies.;10,758
344;WalmartLabs;Using technology, data and design to change the way the world shops. Learn more about us -  http://walmartlabs.com/;10,683
345;Spiralbound;Comics for life, brought to life by Edith Zimmerman.;10,547
346;Words That Matter;Some of the year’s most influential writers, thinkers, and experts reflect on the words that matter most in 2018.;10,546
347;Boost VC;The Boost VC Accelerator: We Invest $500k in Sci-Fi Founders. 250+ companies funded - http://www.boost.vc/podcast;10,496
348;Framer;Exploring ideas at the intersection of design, code and tech. The official blog for www.framer.com;10,429
349;CBC Digital Labs;Telling stories about who we are, what we are doing, what we are learning, and how we are making decisions as we work to create the best possible experiences for Canadians in digital spaces.;10,411
350;Circa Navigate;The lessons and insights of history are second to none. It is a great teacher. Circa Navigate is devoted to bringing you the lessons and stories that you are unlikely to find elsewhere. We love analytics, analogies, etymology, and those recurring themes only history can reveal.;10,402
351;PRXOfficial;Shaping the future of public media content, talent and technology.;10,260
352;Gojek Product + Tech;Gojek's Product and Engineering Blog;10,242
353;Scope - Stanford Medicine;Medical and health news and features from Stanford Medicine's blog;9,927
354;Hopes & Dreams;Dream and Exceed!;9,882
355;Frontiers;Stories from the startup journey around the world.;9,843
356;Chris Messina;This can all be made better. Ready? Begin.;9,828
357;Lit Up;Welcome to Lit Up -The Land of Little Tales. Here you can read and submit short stories, flash fiction, poetry - in brief, your own legend. We're starting little. But that's how all big stories begin.;9,814
358;Point Nine Land;Stories from the P9 team & portfolio companies;9,796
359;Legendary Women;A collection of stories about positive women role models in media, real-life women and female-centered charities to know, heroines on television and other media, and also feminist criticism of media issues from new media to books to film.;9,791
360;PrimeMind;Exploratory Journalism // Critical Thinking;9,786
361;Threat Intel;Insights into the world of threat intelligence, cybercrime and IT security. Brought to you by researchers at Symantec.;9,736
362;Center for Biological Diversity;The Center for Biological Diversity is a national, nonprofit conservation organization with more than 1.6 million members and online activists dedicated to the protection of endangered species and wild places. More info at www.biologicaldiversity.org;9,607
363;Startup Lessons Learned;Lessons learned the hard way — submissions tweet @michaelsacca;9,582
364;Neo4j Developer Blog;Developer Content around Graph Databases, Neo4j, Cypher, Data Science, Graph Analytics, GraphQL and more.;9,564
365;The Capital;The Capital is a financially incentivized social micro-publishing business platform;9,562
366;UX in Motion;Creating usability with motion. Learn more at uxinmotion.com;9,562
367;Exploring Android;Deep dives + how-to articles for the latest android platform features;9,549
368;Mule Design Studio;Designed to work.;9,526
369;The Stories;Real stories, well-told.;9,492
370;Building Creative Market;Lessons from Creative Market's design, development, growth, community, and leadership teams. (creativemarket.com);9,486
371;SportsPickle;the most important sports takes;9,457
372;NYT Open;Sharing our stories of making digital products at The New York Times.;9,414
373;Exposition;Articles by the Expo team and community. Visit us at https://expo.io;9,413
374;Towards AI — Multidisciplinary Science Journal;Towards AI is a world’s leading multidisciplinary science journal. Towards AI publishes the best of tech, science, and the future. Read by thought-leaders and decision-makers around the world.;9,410
375;The Founder Coach;Insightful essays to help you become the leader your startup deserves;9,405
376;The Creator’s Path;Stories by, for, and about creativity in all of its forms.;9,244
377;Loom Network;🛸 The blockchain platform of choice for serious dapp developers — http://loomx.io;9,204
378;Serious Scrum;Content by and for Scrum Practitioners.;9,172
379;Substance;not just another bad habit;9,110
380;On Breaking the Mold;Where unconventional paths in entrepreneurship, personal development, and education meet. Learn more at discoverpraxis.com;9,098
381;The Physics arXiv Blog;An alternative view of the best new ideas in science. About: http://tinyurl.com/p6ypk56;9,077
382;Mosquito Ridge;Resist the right!;9,076
383;Cooking With Sarah;Every Sunday, my wife and I cook together. It's a time to be intentional about our marriage and enjoy some good food along the way. Each week, we post about our experiences here. It's amazing what you can learn from the simple things in life.;9,039
